[1202/175810:ERROR:backend_impl.cc(2014)] Corrupt Index file
[1202/175810:ERROR:cache_util_win.cc(20)] Unable to move the cache: 5
[1202/175810:ERROR:cache_util.cc(104)] Unable to move cache folder C:\MMELC_pilot\python\CEFStorage to C:\MMELC_pilot\python\old_CEFStorage_000
[1202/175810:ERROR:cache_creator.cc(115)] Unable to create cache
[1202/180928:INFO:CONSOLE(409)] "Uncaught TypeError: Cannot read property 'left' of undefined", source: http://localhost:85/content/home_protected.html?message=noLogin (409)
[1202/180946:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/180946:INFO:CONSOLE(106)] "Uncaught TypeError: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/main-2.js (106)
[1202/180947:INFO:CONSOLE(2)] "jQuery.Deferred exception: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/jquery-3.0.0.min.js (2)
[1202/181519:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/181519:INFO:CONSOLE(106)] "Uncaught TypeError: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/main-2.js (106)
[1202/181519:INFO:CONSOLE(2)] "jQuery.Deferred exception: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/jquery-3.0.0.min.js (2)
[1202/181529:INFO:CONSOLE(349)] "load_page : page is: 8_0_slide03.html", source: http://localhost:85/content/js/main-2.js (349)
[1202/181529:INFO:CONSOLE(268)] "Uncaught TypeError: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/main-2.js (268)
[1202/181539:INFO:CONSOLE(158)] "get_next_page signalnext", source: http://localhost:85/content/js/main-2.js (158)
[1202/181539:INFO:CONSOLE(168)] "next page -->8_0_slide03.html", source: http://localhost:85/content/js/main-2.js (168)
[1202/181539:INFO:CONSOLE(169)] "next page current module -->Module-8", source: http://localhost:85/content/js/main-2.js (169)
[1202/181539:INFO:CONSOLE(170)] "next page current module -->0", source: http://localhost:85/content/js/main-2.js (170)
[1202/181539:INFO:CONSOLE(193)] "Uncaught TypeError: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/main-2.js (193)
[1202/181626:ERROR_REPORT:browser_main.cc(126)] Check failed: browser_contexts_.empty(). 
[1202/181635:ERROR:backend_impl.cc(2014)] Corrupt Index file
[1202/181635:ERROR:cache_util_win.cc(20)] Unable to move the cache: 5
[1202/181635:ERROR:cache_util.cc(104)] Unable to move cache folder C:\MMELC_pilot\python\CEFStorage to C:\MMELC_pilot\python\old_CEFStorage_000
[1202/181635:ERROR:cache_creator.cc(115)] Unable to create cache
[1202/181635:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/181635:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/181638:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/181638:INFO:CONSOLE(101)] "Uncaught TypeError: Cannot call method 'split' of null", source: http://localhost:85/content/js/main-2.js (101)
[1202/181638:INFO:CONSOLE(195)] "user has logged in", source: http://localhost:85/content/home.html?user=guest_user (195)
[1202/181639:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/181639:INFO:CONSOLE(410)] "Uncaught TypeError: Cannot read property 'left' of undefined", source: http://localhost:85/content/home_protected.html?message=noLogin (410)
[1202/181639:INFO:CONSOLE(38)] "Uncaught TypeError: Cannot set property 'innerHTML' of null", source: http://localhost:85/content/js/main-head.js (38)
[1202/181655:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/181655:INFO:CONSOLE(101)] "Uncaught TypeError: Cannot call method 'split' of null", source: http://localhost:85/content/js/main-2.js (101)
[1202/181655:INFO:CONSOLE(2)] "jQuery.Deferred exception: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/jquery-3.0.0.min.js (2)
[1202/181656:INFO:CONSOLE(349)] "load_page : page is: 8_0_slide03.html", source: http://localhost:85/content/js/main-2.js (349)
[1202/181656:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/181656:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/181656:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/181656:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/181700:INFO:CONSOLE(158)] "get_next_page signalnext", source: http://localhost:85/content/js/main-2.js (158)
[1202/181700:INFO:CONSOLE(168)] "next page -->8_0_slide03.html", source: http://localhost:85/content/js/main-2.js (168)
[1202/181700:INFO:CONSOLE(169)] "next page current module -->Module-8", source: http://localhost:85/content/js/main-2.js (169)
[1202/181700:INFO:CONSOLE(170)] "next page current module -->0", source: http://localhost:85/content/js/main-2.js (170)
[1202/181700:INFO:CONSOLE(195)] "8_0_slide02.html,8_0_slide03.html,8_0_slide04.html,8_0_slide05.html,8_0_slide06.html,8_0_slide07.html,8_0_slide08.html,8_0_slide09.html,8_0_slide10.html,8_0_slide11.html,8_0_slide12.html,8_0_slide13.html,8_0_slide14_pxl_posttestq1.html,8_0_slide15_pxl_posttestq2.html,8_0_slide16_pxl_posttestq3.html,8_0_slide18_pxl_posttestq4.html,8_0_slide18_pxl_posttestq5.html,8_0_slide19.html,8_0_slide20.html", source: http://localhost:85/content/js/main-2.js (195)
[1202/181700:INFO:CONSOLE(207)] "get_next_page --> current_index :1", source: http://localhost:85/content/js/main-2.js (207)
[1202/181700:INFO:CONSOLE(319)] "nav_to target next page:8_0_slide04.html", source: http://localhost:85/content/js/main-2.js (319)
[1202/181700:INFO:CONSOLE(349)] "load_page : page is: 8_0_slide04.html", source: http://localhost:85/content/js/main-2.js (349)
[1202/181700:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/181700:INFO:CONSOLE(116)] "3-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/181700:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/181700:INFO:CONSOLE(116)] "3-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/181704:INFO:CONSOLE(158)] "get_next_page signalnext", source: http://localhost:85/content/js/main-2.js (158)
[1202/181704:INFO:CONSOLE(168)] "next page -->8_0_slide04.html", source: http://localhost:85/content/js/main-2.js (168)
[1202/181704:INFO:CONSOLE(169)] "next page current module -->Module-8", source: http://localhost:85/content/js/main-2.js (169)
[1202/181704:INFO:CONSOLE(170)] "next page current module -->0", source: http://localhost:85/content/js/main-2.js (170)
[1202/181704:INFO:CONSOLE(195)] "8_0_slide02.html,8_0_slide03.html,8_0_slide04.html,8_0_slide05.html,8_0_slide06.html,8_0_slide07.html,8_0_slide08.html,8_0_slide09.html,8_0_slide10.html,8_0_slide11.html,8_0_slide12.html,8_0_slide13.html,8_0_slide14_pxl_posttestq1.html,8_0_slide15_pxl_posttestq2.html,8_0_slide16_pxl_posttestq3.html,8_0_slide18_pxl_posttestq4.html,8_0_slide18_pxl_posttestq5.html,8_0_slide19.html,8_0_slide20.html", source: http://localhost:85/content/js/main-2.js (195)
[1202/181704:INFO:CONSOLE(207)] "get_next_page --> current_index :2", source: http://localhost:85/content/js/main-2.js (207)
[1202/181704:INFO:CONSOLE(319)] "nav_to target next page:8_0_slide05.html", source: http://localhost:85/content/js/main-2.js (319)
[1202/181704:INFO:CONSOLE(349)] "load_page : page is: 8_0_slide05.html", source: http://localhost:85/content/js/main-2.js (349)
[1202/181704:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/181704:INFO:CONSOLE(116)] "4-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/181704:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/181704:INFO:CONSOLE(116)] "4-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182102:INFO:CONSOLE(158)] "get_next_page signalnext", source: http://localhost:85/content/js/main-2.js (158)
[1202/182102:INFO:CONSOLE(168)] "next page -->8_0_slide05.html", source: http://localhost:85/content/js/main-2.js (168)
[1202/182102:INFO:CONSOLE(169)] "next page current module -->Module-8", source: http://localhost:85/content/js/main-2.js (169)
[1202/182102:INFO:CONSOLE(170)] "next page current module -->0", source: http://localhost:85/content/js/main-2.js (170)
[1202/182102:INFO:CONSOLE(195)] "8_0_slide02.html,8_0_slide03.html,8_0_slide04.html,8_0_slide05.html,8_0_slide06.html,8_0_slide07.html,8_0_slide08.html,8_0_slide09.html,8_0_slide10.html,8_0_slide11.html,8_0_slide12.html,8_0_slide13.html,8_0_slide14_pxl_posttestq1.html,8_0_slide15_pxl_posttestq2.html,8_0_slide16_pxl_posttestq3.html,8_0_slide18_pxl_posttestq4.html,8_0_slide18_pxl_posttestq5.html,8_0_slide19.html,8_0_slide20.html", source: http://localhost:85/content/js/main-2.js (195)
[1202/182102:INFO:CONSOLE(207)] "get_next_page --> current_index :3", source: http://localhost:85/content/js/main-2.js (207)
[1202/182102:INFO:CONSOLE(319)] "nav_to target next page:8_0_slide06.html", source: http://localhost:85/content/js/main-2.js (319)
[1202/182102:INFO:CONSOLE(349)] "load_page : page is: 8_0_slide06.html", source: http://localhost:85/content/js/main-2.js (349)
[1202/182102:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182102:INFO:CONSOLE(116)] "5-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182102:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182102:INFO:CONSOLE(116)] "5-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182105:INFO:CONSOLE(158)] "get_next_page signalnext", source: http://localhost:85/content/js/main-2.js (158)
[1202/182105:INFO:CONSOLE(168)] "next page -->8_0_slide06.html", source: http://localhost:85/content/js/main-2.js (168)
[1202/182105:INFO:CONSOLE(169)] "next page current module -->Module-8", source: http://localhost:85/content/js/main-2.js (169)
[1202/182105:INFO:CONSOLE(170)] "next page current module -->0", source: http://localhost:85/content/js/main-2.js (170)
[1202/182105:INFO:CONSOLE(195)] "8_0_slide02.html,8_0_slide03.html,8_0_slide04.html,8_0_slide05.html,8_0_slide06.html,8_0_slide07.html,8_0_slide08.html,8_0_slide09.html,8_0_slide10.html,8_0_slide11.html,8_0_slide12.html,8_0_slide13.html,8_0_slide14_pxl_posttestq1.html,8_0_slide15_pxl_posttestq2.html,8_0_slide16_pxl_posttestq3.html,8_0_slide18_pxl_posttestq4.html,8_0_slide18_pxl_posttestq5.html,8_0_slide19.html,8_0_slide20.html", source: http://localhost:85/content/js/main-2.js (195)
[1202/182105:INFO:CONSOLE(207)] "get_next_page --> current_index :4", source: http://localhost:85/content/js/main-2.js (207)
[1202/182105:INFO:CONSOLE(319)] "nav_to target next page:8_0_slide07.html", source: http://localhost:85/content/js/main-2.js (319)
[1202/182105:INFO:CONSOLE(349)] "load_page : page is: 8_0_slide07.html", source: http://localhost:85/content/js/main-2.js (349)
[1202/182105:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182105:INFO:CONSOLE(116)] "6-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182105:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182105:INFO:CONSOLE(116)] "6-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182249:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/182249:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182249:INFO:CONSOLE(116)] "6-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182249:INFO:CONSOLE(2)] "jQuery.Deferred exception: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/jquery-3.0.0.min.js (2)
[1202/182250:INFO:CONSOLE(351)] "load_page : page is: 8_0_slide03.html", source: http://localhost:85/content/js/main-2.js (351)
[1202/182251:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182251:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182251:INFO:CONSOLE(111)] "undefined : Post Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182251:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182256:ERROR_REPORT:browser_main.cc(126)] Check failed: browser_contexts_.empty(). 
[1202/182314:ERROR:backend_impl.cc(2014)] Corrupt Index file
[1202/182314:ERROR:cache_util_win.cc(20)] Unable to move the cache: 5
[1202/182314:ERROR:cache_util.cc(104)] Unable to move cache folder C:\MMELC_pilot\python\CEFStorage to C:\MMELC_pilot\python\old_CEFStorage_000
[1202/182314:ERROR:cache_creator.cc(115)] Unable to create cache
[1202/182315:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/182315:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/182318:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/182318:INFO:CONSOLE(101)] "Uncaught TypeError: Cannot call method 'split' of null", source: http://localhost:85/content/js/main-2.js (101)
[1202/182318:INFO:CONSOLE(195)] "user has logged in", source: http://localhost:85/content/home.html?user=guest_user (195)
[1202/182319:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/182319:INFO:CONSOLE(410)] "Uncaught TypeError: Cannot read property 'left' of undefined", source: http://localhost:85/content/home_protected.html?message=noLogin (410)
[1202/182319:INFO:CONSOLE(38)] "Uncaught TypeError: Cannot set property 'innerHTML' of null", source: http://localhost:85/content/js/main-head.js (38)
[1202/182331:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/182331:INFO:CONSOLE(101)] "Uncaught TypeError: Cannot call method 'split' of null", source: http://localhost:85/content/js/main-2.js (101)
[1202/182331:INFO:CONSOLE(2)] "jQuery.Deferred exception: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/jquery-3.0.0.min.js (2)
[1202/182332:INFO:CONSOLE(351)] "load_page : page is: 8_0_slide03.html", source: http://localhost:85/content/js/main-2.js (351)
[1202/182332:INFO:CONSOLE(111)] "undefined : Certification Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182332:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182332:INFO:CONSOLE(111)] "undefined : Certification Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182332:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182646:INFO:CONSOLE(320)] "Uncaught TypeError: Object #<Object> has no method 'TestJSCallback'", source: http://localhost:85/content/js/login.js (320)
[1202/182647:INFO:CONSOLE(111)] "undefined : Certification Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182647:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182647:INFO:CONSOLE(2)] "jQuery.Deferred exception: Cannot read property 'conf' of undefined", source: http://localhost:85/content/js/jquery-3.0.0.min.js (2)
[1202/182648:INFO:CONSOLE(353)] "load_page : page is: 8_0_slide03.html", source: http://localhost:85/content/js/main-2.js (353)
[1202/182648:INFO:CONSOLE(111)] "undefined : Certification Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182648:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1202/182648:INFO:CONSOLE(111)] "undefined : Certification Test", source: http://localhost:85/content/js/main-2.js (111)
[1202/182648:INFO:CONSOLE(116)] "2-of-19", source: http://localhost:85/content/js/main-2.js (116)
[1203/181955:INFO:CONSOLE(36)] "completed units:1_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/181955:INFO:CONSOLE(36)] "completed units:1_1", source: http://localhost:85/content/js/main-2.js (36)
[1203/181955:INFO:CONSOLE(36)] "completed units:4_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/181955:INFO:CONSOLE(25)] "completed module: Module-7", source: http://localhost:85/content/js/main-2.js (25)
[1203/181955:INFO:CONSOLE(36)] "completed units:7_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182011:INFO:CONSOLE(36)] "completed units:1_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182011:INFO:CONSOLE(36)] "completed units:1_1", source: http://localhost:85/content/js/main-2.js (36)
[1203/182011:INFO:CONSOLE(36)] "completed units:4_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182011:INFO:CONSOLE(25)] "completed module: Module-7", source: http://localhost:85/content/js/main-2.js (25)
[1203/182011:INFO:CONSOLE(36)] "completed units:7_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182012:INFO:CONSOLE(36)] "completed units:1_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182012:INFO:CONSOLE(36)] "completed units:1_1", source: http://localhost:85/content/js/main-2.js (36)
[1203/182012:INFO:CONSOLE(36)] "completed units:4_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182012:INFO:CONSOLE(25)] "completed module: Module-7", source: http://localhost:85/content/js/main-2.js (25)
[1203/182012:INFO:CONSOLE(36)] "completed units:7_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182035:INFO:CONSOLE(36)] "completed units:1_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182035:INFO:CONSOLE(36)] "completed units:1_1", source: http://localhost:85/content/js/main-2.js (36)
[1203/182035:INFO:CONSOLE(36)] "completed units:4_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182035:INFO:CONSOLE(25)] "completed module: Module-7", source: http://localhost:85/content/js/main-2.js (25)
[1203/182035:INFO:CONSOLE(36)] "completed units:7_0", source: http://localhost:85/content/js/main-2.js (36)
[1203/182038:INFO:CONSOLE(353)] "load_page : page is: 3_2_slide01.html", source: http://localhost:85/content/js/main-2.js (353)
[1203/182039:INFO:CONSOLE(111)] "Module Three: Blood Film Examination : Unit 2: Malaria Parasite Detection", source: http://localhost:85/content/js/main-2.js (111)
[1203/182039:INFO:CONSOLE(116)] "1-of-70", source: http://localhost:85/content/js/main-2.js (116)
[1203/182039:INFO:CONSOLE(111)] "Module Three: Blood Film Examination : Unit 2: Malaria Parasite Detection", source: http://localhost:85/content/js/main-2.js (111)
[1203/182039:INFO:CONSOLE(116)] "1-of-70", source: http://localhost:85/content/js/main-2.js (116)
[1203/182040:INFO:CONSOLE(160)] "get_next_page signalprev", source: http://localhost:85/content/js/main-2.js (160)
[1203/182040:INFO:CONSOLE(170)] "next page -->3_2_slide01.html", source: http://localhost:85/content/js/main-2.js (170)
[1203/182040:INFO:CONSOLE(171)] "next page current module -->Module-3", source: http://localhost:85/content/js/main-2.js (171)
[1203/182040:INFO:CONSOLE(172)] "next page current module -->2", source: http://localhost:85/content/js/main-2.js (172)
